id,area,bedrooms,bathrooms,stories,parking,location,furnishing,age_years,amenities_score,price
378,457,6,5,4,0,Suburb South,Fully-Furnished,20,9,2003567.68
379,2766,1,1,2,2,Suburb North,Unfurnished,22,5,7985908.67
380,4076,1,1,4,0,Industrial Zone,Unfurnished,15,1,8727184.71
381,3673,1,1,1,3,Countryside,Fully-Furnished,26,2,8336447.92
382,2469,4,3,4,0,Countryside,Fully-Furnished,14,2,6619522.14
383,3723,1,1,1,2,Industrial Zone,Unfurnished,4,5,8892429.24
384,1987,2,2,1,0,Hill View,Fully-Furnished,39,7,9107555.71
385,2216,6,2,4,1,Downtown,Unfurnished,21,3,11173249.71
386,2126,6,5,3,2,Industrial Zone,Unfurnished,6,0,6050440.08
387,2701,4,2,1,2,Downtown,Semi-Furnished,5,4,15533902.0
388,3010,5,4,2,0,Downtown,Unfurnished,10,10,16191820.54
389,785,4,1,3,3,Countryside,Semi-Furnished,16,1,1836420.54
390,2037,2,2,4,2,Suburb South,Semi-Furnished,2,4,7749306.38
391,1528,2,2,1,1,Suburb North,Unfurnished,22,8,5014483.99
392,3548,5,2,1,3,Tech Park Area,Semi-Furnished,34,10,16639630.92
393,2394,5,2,4,2,Suburb North,Semi-Furnished,2,8,12041931.97
394,2566,5,5,2,0,Countryside,Unfurnished,10,3,6624114.96
395,966,1,1,1,3,Riverside,Fully-Furnished,9,9,4754896.64
396,4180,6,6,1,0,City Center,Fully-Furnished,25,8,27000904.62
397,1581,5,4,1,3,Suburb North,Semi-Furnished,9,2,6745644.03
398,2836,1,1,1,2,Tech Park Area,Semi-Furnished,26,4,10307167.93
399,2438,5,5,4,0,Suburb South,Semi-Furnished,25,2,8464046.2
400,3238,6,4,1,3,Hill View,Fully-Furnished,15,0,19984907.99
401,4221,3,3,1,2,Industrial Zone,Semi-Furnished,17,7,12790734.96
402,3255,1,1,2,2,Countryside,Semi-Furnished,17,6,7383203.74
403,815,2,2,2,3,Countryside,Fully-Furnished,23,0,1817469.23
404,1101,1,1,4,1,Tech Park Area,Fully-Furnished,1,2,5371970.74
405,3861,2,1,2,0,Countryside,Unfurnished,23,3,6795174.49
406,3823,4,4,4,0,Downtown,Unfurnished,23,7,18463378.74
407,1177,4,4,3,2,Suburb South,Semi-Furnished,5,4,4330988.0
408,653,2,2,2,1,Riverside,Fully-Furnished,13,4,3211168.23
409,2552,1,1,4,1,Suburb South,Fully-Furnished,0,3,9846568.05
410,3747,3,3,4,3,Hill View,Semi-Furnished,16,3,19442730.71
411,3223,5,5,4,0,Downtown,Fully-Furnished,23,8,20376033.42
412,2944,3,3,1,3,Suburb North,Semi-Furnished,17,10,11954938.67
413,1584,3,3,2,1,Tech Park Area,Unfurnished,3,9,7914344.6
414,1759,6,2,1,3,Industrial Zone,Semi-Furnished,26,6,4697042.8
415,594,5,5,2,2,Riverside,Fully-Furnished,34,10,3135037.7
416,4163,6,3,3,1,Tech Park Area,Unfurnished,18,1,17555302.49
417,3484,3,2,3,0,Riverside,Semi-Furnished,14,4,14957500.65
418,4082,3,3,3,2,Countryside,Unfurnished,30,0,7846917.39
419,2840,5,5,1,3,Riverside,Fully-Furnished,7,10,17865409.04
420,1672,4,1,2,1,Riverside,Semi-Furnished,26,9,7691294.18
421,4491,4,2,3,1,Suburb North,Semi-Furnished,21,10,20324151.4
422,1733,6,1,1,3,Industrial Zone,Unfurnished,10,9,5503496.52
423,2455,1,1,4,3,City Center,Semi-Furnished,30,6,10365678.36
424,2636,2,2,3,0,Hill View,Fully-Furnished,12,0,14261079.47
425,3016,6,2,2,2,Industrial Zone,Unfurnished,6,6,9160682.4
426,1703,2,1,1,2,Industrial Zone,Semi-Furnished,33,9,3992526.05
427,2226,6,2,3,3,Hill View,Unfurnished,10,6,11286259.65
428,1368,6,2,2,0,Old Town,Fully-Furnished,10,1,4811366.93
429,3114,1,1,3,0,Old Town,Unfurnished,6,10,10430444.22
430,647,6,1,4,3,City Center,Unfurnished,35,4,2904592.74
431,1077,2,2,1,2,City Center,Fully-Furnished,6,10,7579822.59
432,3000,5,5,2,3,Suburb North,Fully-Furnished,39,1,10170349.79
433,3664,1,1,2,1,Industrial Zone,Fully-Furnished,12,5,11139408.12
434,1659,2,1,4,1,Countryside,Semi-Furnished,15,0,3172465.31
435,814,1,1,2,0,Tech Park Area,Unfurnished,6,4,3428995.68
436,2320,3,3,4,0,Suburb North,Unfurnished,2,4,9073140.15
437,3222,3,3,1,0,Downtown,Unfurnished,8,10,17364150.2
438,1796,3,3,3,0,Hill View,Semi-Furnished,11,1,8857741.31
439,4391,4,3,4,3,City Center,Fully-Furnished,10,1,26602606.05
440,3425,1,1,1,3,Old Town,Semi-Furnished,36,10,8634293.01
441,2953,4,3,1,1,Countryside,Semi-Furnished,7,6,7809900.8
442,709,3,3,1,1,Hill View,Fully-Furnished,33,9,3363258.66
443,3160,6,2,4,2,City Center,Unfurnished,35,9,14329434.15
444,3085,2,2,4,3,Suburb South,Unfurnished,31,5,8145156.64
445,4423,3,1,2,3,City Center,Unfurnished,5,7,24931491.27
446,2797,4,1,4,3,Hill View,Unfurnished,31,10,11723916.26
447,2102,4,1,1,0,Old Town,Fully-Furnished,40,4,5878469.1
448,2753,2,2,4,2,Hill View,Unfurnished,14,7,13230905.65
449,3593,5,5,4,2,Countryside,Unfurnished,6,10,10145088.86
450,1848,3,3,3,0,Downtown,Unfurnished,31,2,7381847.59
451,3491,6,4,1,2,Old Town,Unfurnished,12,1,11542351.1
452,2059,2,2,2,2,Suburb North,Semi-Furnished,2,10,10099821.68
453,2861,1,1,4,1,Countryside,Unfurnished,33,0,4580471.82
454,2222,5,4,2,1,Suburb South,Unfurnished,24,10,7941909.48
455,4065,3,3,4,1,Industrial Zone,Semi-Furnished,21,4,10741458.88
456,996,2,2,3,2,Tech Park Area,Fully-Furnished,13,3,4690631.38
457,3376,3,3,2,1,Tech Park Area,Fully-Furnished,40,5,14170009.19
458,3566,3,3,4,2,City Center,Unfurnished,33,1,13366000.95
459,1045,1,1,2,2,Suburb South,Semi-Furnished,16,2,3395748.09
460,3278,3,2,1,2,Countryside,Unfurnished,39,10,6369055.95
461,3992,2,2,4,1,Tech Park Area,Fully-Furnished,18,10,19717099.55
462,2012,4,4,3,0,Downtown,Fully-Furnished,16,3,11648171.69
463,3648,4,2,3,1,Riverside,Semi-Furnished,28,2,15242432.75
464,755,2,1,1,3,Downtown,Semi-Furnished,17,8,3520751.1
465,1109,5,3,1,2,Countryside,Fully-Furnished,9,0,2816174.06
466,1771,5,1,3,3,Old Town,Fully-Furnished,22,1,6050340.1
467,1751,5,2,2,0,Tech Park Area,Unfurnished,26,8,7346670.91
468,826,3,2,2,2,Hill View,Semi-Furnished,18,3,4358991.16
469,2982,5,4,1,0,Hill View,Semi-Furnished,15,10,18188737.04
470,2994,2,1,3,3,Suburb North,Semi-Furnished,16,8,12372465.06
471,551,5,3,4,3,Downtown,Semi-Furnished,12,5,3158991.53
472,4333,1,1,1,0,Riverside,Fully-Furnished,40,3,15369222.45
473,2187,1,1,4,0,Suburb South,Unfurnished,29,5,5222650.55
474,750,1,1,3,0,Old Town,Unfurnished,16,6,1967298.58
475,3031,4,4,3,0,City Center,Fully-Furnished,7,8,20325661.56
476,3400,5,1,1,0,Hill View,Fully-Furnished,6,4,22081579.63
477,1684,5,1,3,3,City Center,Semi-Furnished,1,7,10747922.2
478,1350,2,2,4,2,Suburb South,Semi-Furnished,23,0,4034289.84
479,2723,2,1,1,0,Old Town,Fully-Furnished,25,8,8528313.11
480,798,3,2,3,1,City Center,Fully-Furnished,32,2,3702292.89
481,1354,5,3,2,0,Suburb South,Fully-Furnished,36,0,4410904.02
482,4268,5,4,1,2,Suburb North,Semi-Furnished,6,3,19447311.81
483,2445,3,3,2,1,Suburb North,Semi-Furnished,39,1,7483952.21
484,1751,4,4,3,2,Old Town,Unfurnished,36,9,4617753.39
485,1745,4,2,1,2,Riverside,Unfurnished,27,4,6722829.25
486,1000,6,6,3,3,Countryside,Semi-Furnished,22,4,2626241.86
487,895,2,2,1,2,Suburb South,Fully-Furnished,12,4,3554169.8
488,3016,1,1,1,0,Old Town,Fully-Furnished,25,9,8717642.99
489,600,5,3,4,1,Hill View,Semi-Furnished,14,9,3847288.35
490,1641,2,2,1,3,Hill View,Fully-Furnished,0,10,10792799.67
491,4398,5,5,2,1,Countryside,Unfurnished,11,9,12988416.07
492,3150,2,2,4,2,Downtown,Unfurnished,31,3,10854712.51
493,1963,2,1,2,2,City Center,Semi-Furnished,29,0,7463506.62
494,3106,3,1,3,2,Old Town,Fully-Furnished,36,2,8098363.72
495,2000,3,1,3,3,Riverside,Fully-Furnished,25,5,9632923.12
496,1863,4,4,1,1,Countryside,Unfurnished,14,1,4015758.2
497,1600,2,1,2,1,Hill View,Fully-Furnished,7,10,9677358.49
498,3772,3,1,4,3,Countryside,Unfurnished,37,2,6603963.15
499,2133,1,1,1,1,Old Town,Fully-Furnished,10,2,6869612.08
500,610,5,2,1,1,Industrial Zone,Unfurnished,33,6,1388317.49
501,2758,6,1,3,0,Riverside,Semi-Furnished,38,7,11345512.19
502,1148,2,2,2,1,Old Town,Fully-Furnished,32,4,3008557.11
503,3258,3,3,1,1,City Center,Semi-Furnished,8,1,15974458.64
504,2591,5,5,4,1,Old Town,Unfurnished,11,7,9862673.94
505,2906,1,1,1,3,Suburb South,Fully-Furnished,34,0,8539632.36
506,3623,6,6,4,3,Hill View,Unfurnished,33,6,16800302.28
507,3736,4,4,3,0,City Center,Unfurnished,16,7,21833057.07
508,4177,1,1,4,2,Riverside,Unfurnished,0,9,19868378.37
509,2578,1,1,2,2,City Center,Semi-Furnished,6,2,13322936.12
510,2847,3,3,4,2,Old Town,Semi-Furnished,25,3,8060974.58
511,3660,5,4,2,2,Tech Park Area,Fully-Furnished,30,4,19277013.77
512,2816,3,3,2,0,Riverside,Semi-Furnished,10,1,11386316.24
513,2090,3,1,2,3,Downtown,Unfurnished,9,7,11247876.25
514,2233,1,1,3,1,Hill View,Unfurnished,38,0,7421866.78
515,4262,4,4,3,0,Suburb South,Fully-Furnished,31,7,14186026.04
516,3933,6,6,3,1,Downtown,Fully-Furnished,32,8,23817609.98
517,2969,2,2,1,2,Riverside,Fully-Furnished,0,2,13904073.52
518,1580,4,3,4,3,Old Town,Unfurnished,33,0,3950617.7
519,731,1,1,3,2,Industrial Zone,Unfurnished,38,3,1321411.07
520,2104,5,1,3,1,City Center,Fully-Furnished,6,8,14141923.66
521,1655,3,1,3,2,Countryside,Semi-Furnished,36,7,3490014.39
522,3552,3,3,4,0,Countryside,Unfurnished,16,1,7230472.22
523,3680,2,2,2,2,City Center,Semi-Furnished,33,8,15753655.42
524,3858,3,2,3,0,City Center,Fully-Furnished,21,1,21078210.19
525,1181,4,3,3,1,Old Town,Semi-Furnished,11,10,4784170.83
526,1228,4,2,2,1,Industrial Zone,Unfurnished,14,3,3299786.2
527,3875,5,3,2,0,Suburb North,Unfurnished,31,9,12028760.54
528,3960,5,1,4,2,Old Town,Semi-Furnished,31,9,13015854.57
529,2460,2,2,3,3,Riverside,Fully-Furnished,8,0,11810887.74
530,2183,4,4,1,2,City Center,Fully-Furnished,11,7,16736102.84
531,3310,5,4,3,0,Downtown,Fully-Furnished,13,6,21196959.74
532,1782,3,3,2,2,Riverside,Semi-Furnished,30,9,7215349.92
533,1203,4,4,2,3,Hill View,Semi-Furnished,25,4,5916607.51
534,2790,2,2,2,0,Industrial Zone,Unfurnished,35,6,6042627.44
535,1253,2,2,2,3,Downtown,Unfurnished,26,7,4874123.86
536,4108,6,5,3,3,Industrial Zone,Semi-Furnished,35,9,10644054.26
537,855,6,2,1,1,Industrial Zone,Semi-Furnished,40,1,1772603.74
538,1820,3,3,3,2,Hill View,Unfurnished,26,1,7240703.76
539,3233,5,2,2,2,Hill View,Semi-Furnished,32,7,16284015.02
540,2280,1,1,3,3,Suburb South,Unfurnished,40,5,5309384.53
541,2958,5,4,1,0,Suburb South,Semi-Furnished,14,5,10667452.23
542,1643,6,3,4,2,Countryside,Semi-Furnished,37,8,4125602.86
543,2145,2,1,1,1,Riverside,Fully-Furnished,16,1,8568212.88
544,2076,1,1,1,3,Tech Park Area,Unfurnished,1,6,9367499.2
545,790,1,1,2,0,City Center,Semi-Furnished,14,3,4045978.24
546,2265,6,2,2,1,Downtown,Unfurnished,22,5,11175627.32
547,2363,5,3,4,1,Tech Park Area,Unfurnished,37,9,9345575.75
548,3517,6,5,4,2,Hill View,Semi-Furnished,34,3,18103386.18
549,2259,3,3,4,2,Suburb South,Semi-Furnished,0,0,8618838.25
550,3555,2,2,3,3,Tech Park Area,Unfurnished,31,7,12774350.48
551,3587,4,3,2,0,Tech Park Area,Semi-Furnished,12,6,19121664.79
552,2240,4,2,2,3,City Center,Unfurnished,16,1,10703166.41
553,1431,5,5,3,2,Tech Park Area,Semi-Furnished,26,3,6937516.1
554,1197,2,2,1,3,Old Town,Semi-Furnished,17,9,3819491.09
555,1763,1,1,1,0,Suburb South,Unfurnished,18,4,4496349.86
556,2245,6,1,2,0,Suburb South,Unfurnished,31,3,6008524.41
557,1726,4,3,4,0,Hill View,Unfurnished,9,0,7919801.22
558,2057,1,1,2,1,Industrial Zone,Semi-Furnished,0,1,6025928.44
559,3377,2,2,4,1,Downtown,Unfurnished,29,1,12461281.89
560,4472,2,2,4,2,Hill View,Unfurnished,40,0,15670197.59
561,2701,5,1,3,3,Industrial Zone,Unfurnished,23,0,6591077.01
562,1342,1,1,4,2,Downtown,Unfurnished,17,9,5706926.82
563,3682,2,1,1,3,Old Town,Unfurnished,23,1,8232787.67
564,2497,1,1,1,0,Hill View,Fully-Furnished,9,8,15220538.18
565,965,4,2,3,2,Countryside,Fully-Furnished,12,0,2618662.41
566,1917,6,2,3,0,Countryside,Fully-Furnished,28,8,4943648.39
567,3305,4,2,2,2,Hill View,Fully-Furnished,29,4,18069926.16
568,2902,5,2,1,1,Countryside,Semi-Furnished,16,8,7287108.1
569,452,6,5,4,1,Downtown,Fully-Furnished,23,9,2773393.19
570,3403,1,1,2,3,Tech Park Area,Unfurnished,39,4,10003340.42
571,3075,3,1,1,0,Downtown,Unfurnished,11,0,11828349.93
572,2438,2,1,1,3,Countryside,Fully-Furnished,39,9,4957480.75
573,1950,2,2,1,0,Riverside,Fully-Furnished,31,1,7151940.14
574,3067,1,1,4,2,Downtown,Fully-Furnished,17,8,15341896.02
575,738,3,1,2,0,Suburb North,Fully-Furnished,14,8,3200902.97
576,1241,5,5,2,1,Tech Park Area,Fully-Furnished,35,6,6190371.21
577,3588,6,5,3,3,City Center,Unfurnished,10,2,21391895.94
578,2517,3,2,4,2,Hill View,Fully-Furnished,20,5,14051924.33
579,3043,4,3,2,1,City Center,Fully-Furnished,16,5,21169318.23
580,2282,4,1,1,2,Old Town,Unfurnished,33,2,5679892.31
581,1686,1,1,2,1,Hill View,Unfurnished,17,8,7629025.48
582,2787,5,2,1,0,Countryside,Semi-Furnished,9,2,6472479.21
583,4093,5,2,2,2,Industrial Zone,Unfurnished,36,6,9180477.2
584,1340,6,1,3,3,Suburb South,Semi-Furnished,36,1,3905603.33
585,1680,1,1,1,0,Hill View,Semi-Furnished,27,6,7653750.95
586,943,2,2,1,3,Downtown,Semi-Furnished,33,0,3330666.69
587,2763,2,2,2,1,Downtown,Fully-Furnished,25,7,14689245.21
588,2806,5,1,2,3,Industrial Zone,Semi-Furnished,9,2,7823193.57
589,2399,5,5,1,3,Industrial Zone,Unfurnished,25,8,6415691.2
590,3308,2,1,4,1,Countryside,Semi-Furnished,36,3,6084553.11
591,3463,5,2,2,0,Industrial Zone,Semi-Furnished,20,10,11195755.41
592,816,1,1,4,2,Hill View,Unfurnished,20,5,3596249.94
593,549,3,2,3,3,Old Town,Unfurnished,28,0,1411142.58
594,1406,2,2,3,1,Suburb North,Unfurnished,3,3,5701472.99
595,4245,2,2,1,2,Suburb North,Semi-Furnished,28,7,13026308.52
596,1306,6,5,2,1,Tech Park Area,Fully-Furnished,16,8,7964382.95
597,3439,2,2,1,3,Old Town,Fully-Furnished,33,0,8452040.77
598,696,3,2,3,0,Countryside,Fully-Furnished,0,1,1915514.34
599,1561,6,6,3,0,Downtown,Semi-Furnished,24,3,8742071.08
600,2532,6,1,3,3,Old Town,Fully-Furnished,5,2,9375939.6
601,4409,4,4,1,0,Riverside,Fully-Furnished,19,5,21672569.3
602,3499,2,1,3,2,Hill View,Fully-Furnished,19,3,19991274.11
603,4458,5,3,1,2,City Center,Unfurnished,35,4,18259154.52
604,1849,4,2,1,3,Tech Park Area,Fully-Furnished,39,10,8638643.83
605,2159,2,2,2,3,Industrial Zone,Fully-Furnished,21,7,6491973.06
606,1296,6,2,2,1,Industrial Zone,Fully-Furnished,33,2,3356618.19
607,4173,2,2,2,2,Suburb North,Fully-Furnished,34,1,12652409.97
608,3888,2,2,1,2,City Center,Semi-Furnished,19,7,21602279.84
609,3815,6,6,3,1,Riverside,Unfurnished,8,2,16566243.54
610,4488,5,5,3,1,Old Town,Unfurnished,14,10,14463874.14
611,775,6,6,4,1,Tech Park Area,Fully-Furnished,30,10,4367307.05
612,3940,4,4,4,1,Suburb South,Unfurnished,14,0,12440169.43
613,4418,1,1,4,1,Riverside,Unfurnished,4,2,19182984.31
614,4487,4,4,4,2,Countryside,Unfurnished,27,6,10404988.13
615,2940,6,6,4,2,City Center,Fully-Furnished,36,9,19111911.26
616,3077,6,6,1,0,Countryside,Semi-Furnished,2,3,8988336.61
617,2070,6,1,4,0,Riverside,Semi-Furnished,28,6,9491535.44
618,3618,3,3,2,3,Industrial Zone,Fully-Furnished,3,8,14585849.06
619,2348,6,4,1,0,Suburb South,Fully-Furnished,34,2,7661915.45
620,1774,4,1,2,3,Old Town,Fully-Furnished,12,7,6196781.0
621,1777,6,6,2,0,Suburb North,Unfurnished,28,10,6772109.38
622,2595,6,4,2,3,Tech Park Area,Semi-Furnished,2,2,15545835.62
623,2766,6,6,2,1,Suburb South,Unfurnished,3,6,11179956.89
624,3440,4,3,2,0,Suburb South,Unfurnished,0,9,14619212.95
625,500,4,4,4,0,Old Town,Semi-Furnished,15,3,1655487.05
626,2398,4,4,4,0,Old Town,Fully-Furnished,0,3,10687517.74
627,1589,5,5,2,0,Suburb South,Unfurnished,3,10,6577003.58
628,1045,1,1,3,0,Downtown,Unfurnished,26,2,3501389.34
629,1614,5,5,2,3,Old Town,Semi-Furnished,2,1,6230898.08
630,1772,3,3,1,3,Tech Park Area,Unfurnished,18,7,7124640.5
631,3295,3,3,4,1,Riverside,Fully-Furnished,3,1,17699838.35
632,4461,6,5,1,3,Old Town,Fully-Furnished,18,6,18065150.56
633,1746,3,3,2,3,Tech Park Area,Fully-Furnished,40,7,7421493.08
634,1186,5,2,3,1,Downtown,Unfurnished,1,7,6897703.75
635,933,6,6,2,3,City Center,Unfurnished,21,5,5350783.42
636,3061,2,1,2,2,Industrial Zone,Unfurnished,19,4,7040542.19
637,1776,1,1,3,2,City Center,Fully-Furnished,36,9,9809563.74
638,3858,2,1,3,2,Countryside,Semi-Furnished,2,10,10124527.62
639,1086,6,4,3,3,City Center,Fully-Furnished,3,8,8702980.74
640,3419,6,3,1,1,Old Town,Fully-Furnished,21,5,11162551.96
641,1061,3,1,3,3,Tech Park Area,Unfurnished,36,9,3838890.47
642,2887,1,1,3,0,Industrial Zone,Semi-Furnished,5,7,8952859.42
643,1972,4,3,2,2,Suburb South,Unfurnished,23,0,5925184.78
644,4191,1,1,1,3,Tech Park Area,Unfurnished,12,5,18272074.21
645,3450,5,3,3,1,Suburb North,Fully-Furnished,8,3,17317295.97
646,2331,4,4,1,0,Industrial Zone,Unfurnished,38,1,4336420.63
647,4092,1,1,3,0,Old Town,Semi-Furnished,40,3,8492378.54
648,1238,3,3,3,3,Suburb North,Semi-Furnished,9,2,4766575.67
649,512,5,5,1,1,Tech Park Area,Semi-Furnished,35,5,2007137.99
650,4313,6,6,3,1,Suburb South,Unfurnished,19,9,18157492.87
651,2664,4,1,2,0,Countryside,Fully-Furnished,3,1,7100534.39
652,802,4,4,2,3,Old Town,Semi-Furnished,19,5,2777031.42
653,3370,6,6,1,3,Old Town,Unfurnished,5,7,11724527.74
654,1721,6,6,4,3,Riverside,Unfurnished,9,9,9141811.77
655,1938,4,2,3,2,Countryside,Semi-Furnished,1,1,5039054.36
656,1889,4,4,2,2,Hill View,Fully-Furnished,36,2,8933269.85
657,2111,6,6,1,2,Tech Park Area,Fully-Furnished,4,4,13616533.99
658,2091,5,4,2,1,Tech Park Area,Unfurnished,30,6,7728322.99
659,1302,6,5,4,3,Old Town,Semi-Furnished,34,3,3619667.13
660,3192,1,1,1,3,Hill View,Fully-Furnished,6,7,17855089.9
661,4365,4,1,1,3,Hill View,Semi-Furnished,3,1,21937438.04
662,1019,5,5,1,1,Suburb South,Semi-Furnished,34,4,3089001.78
663,2817,4,2,2,2,Industrial Zone,Fully-Furnished,19,6,9184075.35
664,4198,3,1,1,3,Suburb South,Semi-Furnished,3,5,17202783.23
665,4414,1,1,3,0,Industrial Zone,Unfurnished,15,6,10972476.18
666,2064,6,3,4,3,City Center,Semi-Furnished,34,3,10779736.65
667,2395,2,1,4,2,City Center,Unfurnished,18,10,11748839.29
668,497,1,1,2,3,City Center,Unfurnished,5,2,2511796.52
669,2153,4,4,4,1,Countryside,Fully-Furnished,27,8,6285153.88
670,2025,3,2,2,3,Old Town,Unfurnished,36,7,5289628.13
671,1419,6,5,3,3,Tech Park Area,Fully-Furnished,23,0,7940526.63
672,2777,4,3,1,3,Suburb North,Unfurnished,33,4,8409600.95
673,770,5,5,1,1,Countryside,Fully-Furnished,4,10,2774380.77
674,3719,5,3,1,2,Tech Park Area,Unfurnished,30,7,15002404.59
675,2371,5,5,3,3,Hill View,Semi-Furnished,18,2,11678827.42
676,4230,5,5,3,2,Downtown,Fully-Furnished,30,9,23110320.29
677,661,6,3,1,2,Countryside,Unfurnished,8,8,1627939.96
678,3660,3,3,2,2,Industrial Zone,Semi-Furnished,0,1,11101655.2
679,4177,5,5,2,3,Hill View,Unfurnished,16,3,21291472.65
680,3724,5,1,3,0,Suburb South,Fully-Furnished,9,7,17273727.73
681,2141,4,2,4,1,Riverside,Fully-Furnished,22,0,9730963.57
682,3544,1,1,2,3,City Center,Semi-Furnished,19,7,19231725.2
683,3531,5,2,4,3,Countryside,Semi-Furnished,9,8,11088378.19
684,498,3,3,4,2,Tech Park Area,Fully-Furnished,2,1,3031007.07
685,3060,3,3,3,2,Industrial Zone,Semi-Furnished,6,4,9586178.96
686,2052,4,2,2,2,Suburb South,Semi-Furnished,35,0,5686277.29
687,3856,1,1,4,0,Tech Park Area,Unfurnished,28,5,12732122.2
688,1610,3,2,1,0,Old Town,Unfurnished,3,9,5505974.76
689,3872,2,2,1,0,Suburb North,Fully-Furnished,8,6,17626574.05
690,4135,6,5,2,0,Suburb South,Semi-Furnished,18,7,16926202.97
691,760,6,4,3,3,Hill View,Semi-Furnished,10,1,4187455.99
692,705,4,4,3,0,Industrial Zone,Semi-Furnished,11,7,2032109.68
693,4461,2,2,4,1,Countryside,Unfurnished,9,8,11428516.63
694,1344,5,5,1,3,Industrial Zone,Unfurnished,2,1,3600582.6
695,3430,3,3,1,3,Suburb South,Fully-Furnished,40,0,10422969.68
696,3172,4,3,2,2,City Center,Fully-Furnished,0,8,25696844.57
697,3607,4,4,4,3,Suburb North,Fully-Furnished,14,0,15550509.3
698,3273,4,1,3,2,Industrial Zone,Semi-Furnished,3,10,12316291.18
699,3100,1,1,3,0,Countryside,Semi-Furnished,12,2,6728009.17
700,4412,4,2,3,3,Suburb North,Fully-Furnished,22,7,17930237.98
701,3041,4,2,2,0,Riverside,Unfurnished,37,3,9597681.32
702,708,5,5,3,3,Tech Park Area,Semi-Furnished,1,0,3702202.47
703,1833,6,1,4,0,Riverside,Fully-Furnished,33,7,9181602.47
704,4014,5,2,2,0,Downtown,Fully-Furnished,9,7,26089189.24
705,2380,5,1,2,1,Downtown,Unfurnished,40,0,8484233.59
706,3811,1,1,2,0,Suburb North,Unfurnished,31,9,11988885.11
707,1353,1,1,4,2,City Center,Semi-Furnished,7,10,8483684.21
708,1012,3,2,1,1,Hill View,Unfurnished,7,4,4587257.08
709,2150,2,2,3,1,Countryside,Unfurnished,37,0,3122958.48
710,3690,6,5,4,1,Downtown,Semi-Furnished,5,0,19170013.33
711,4243,1,1,4,3,Suburb South,Unfurnished,9,10,14463686.14
712,2294,4,2,2,0,Old Town,Unfurnished,31,9,6661757.64
713,3018,3,3,4,0,Tech Park Area,Unfurnished,12,1,13762820.91
714,4450,1,1,2,3,Riverside,Semi-Furnished,3,3,18177828.6
715,1061,6,6,4,3,Suburb South,Unfurnished,2,0,4335294.86
716,1617,2,2,3,2,Old Town,Semi-Furnished,2,1,5436578.88
717,4238,5,2,2,0,Countryside,Fully-Furnished,7,1,12636031.46
718,3404,4,4,3,3,Riverside,Fully-Furnished,20,3,17918385.13
719,1785,2,1,2,3,Riverside,Semi-Furnished,14,1,7080044.33
720,2434,1,1,2,1,Old Town,Semi-Furnished,11,6,7203904.89
721,2324,6,2,3,2,Riverside,Semi-Furnished,8,0,11346379.23
722,694,3,2,1,3,Countryside,Semi-Furnished,10,5,1634274.27
723,1658,5,2,2,1,Suburb North,Semi-Furnished,33,7,6236905.66
724,1336,5,4,4,2,Downtown,Fully-Furnished,27,3,6849881.78
725,2228,5,2,2,0,City Center,Unfurnished,2,7,14230916.25
726,2515,1,1,4,3,Suburb North,Semi-Furnished,31,3,7082229.32
727,3534,1,1,2,1,Hill View,Semi-Furnished,15,10,20096219.69
728,515,4,3,2,3,Old Town,Fully-Furnished,37,0,1523673.65
729,2349,2,2,4,1,Hill View,Fully-Furnished,29,10,11541494.75
730,3019,1,1,3,0,Industrial Zone,Semi-Furnished,17,9,8178885.06
731,3704,2,2,1,2,Downtown,Fully-Furnished,23,0,15391831.19
732,1947,4,4,1,2,Hill View,Unfurnished,35,1,7469955.89
733,3618,2,1,3,1,Tech Park Area,Unfurnished,30,9,14636979.12
734,3328,2,2,2,2,Hill View,Semi-Furnished,32,10,15179088.51
735,673,1,1,3,3,Countryside,Fully-Furnished,33,1,1323018.82
736,2628,6,6,3,3,Old Town,Semi-Furnished,4,3,11251258.85
737,2325,1,1,4,1,Industrial Zone,Unfurnished,6,2,5460671.56
738,3305,2,2,2,1,Tech Park Area,Fully-Furnished,1,4,17888420.12
739,3245,5,2,4,2,City Center,Semi-Furnished,1,4,20236920.68
740,540,2,2,3,3,Old Town,Semi-Furnished,20,7,1700096.82
741,3304,5,5,4,3,Industrial Zone,Fully-Furnished,8,4,11585396.88
742,1514,2,2,3,2,Downtown,Unfurnished,22,4,6236758.66
743,1131,5,2,3,1,Suburb South,Fully-Furnished,9,2,4445501.33
744,618,3,2,4,2,Hill View,Unfurnished,13,8,3379208.36
745,3176,3,3,2,2,Countryside,Fully-Furnished,10,8,9204278.75
746,4220,1,1,4,1,Countryside,Semi-Furnished,9,0,10023459.54
747,2687,5,3,3,3,Industrial Zone,Fully-Furnished,9,9,10851627.57
748,4227,4,3,1,3,Downtown,Unfurnished,35,1,14725346.56
749,2095,5,2,4,2,Suburb North,Semi-Furnished,3,9,10779443.91
750,2839,5,2,3,1,Downtown,Unfurnished,34,7,12239270.11
751,4372,1,1,2,3,Hill View,Fully-Furnished,38,8,21490953.37
752,4170,6,3,4,1,City Center,Semi-Furnished,24,5,21498784.2
753,1862,3,3,4,0,Riverside,Fully-Furnished,28,6,9041794.98
754,1632,2,2,4,3,Suburb South,Fully-Furnished,38,1,4409526.32
755,1692,4,4,3,0,Old Town,Semi-Furnished,5,0,5483556.75
